OBJECTID,CLASS,BUILDING_U,NO_OF_STOR,NO_OF_LIFT,NO_OF_BASE,BLD_ENERGY,EQUITABLE_,AREA_SQM,ASSET_POSI,FUNCTIONAL,GIS_DESCRI,CREATED_DA,LAST_EDITE,SHAPE_Leng,SHAPE_Area
1450,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,15,GPS,K-SIRBRU,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,24.14896382,25.72111366
1451,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,19.08,GPS,K-LANDSD,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,18.35550457,19.0776824
1453,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,36,,K-ROYALP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,32.76823576,63.74976365
1454,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,73,GPS,F-SFCARR,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,45.97625774,125.7425996
1455,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,N,63.19,GPS,K-ANDYFR,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,31.99527789,63.04838502
1458,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,30,GPS,K-LENFOX,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,33.82898097,59.46610407
1468,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,25.9,GPS,K-MART01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,23.61098954,30.39802775
1470,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,33,GPS,K-LION05,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,26.41659727,37.54609009
1475,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,26.6,GPS,R-G-GOLDCCLNGTOSRFR,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,24.4237289,36.10061196
1487,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,20.16,GPS,F-TPMAIN,AMENITIES BLOCK,23/05/2014,5/02/2015,25.00198109,32.94107416
1489,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,32,GPS,K-CHAR05,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,28.32174826,46.04898197
1494,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,29.8,GPS,K-UPPE02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,21.86064932,29.80434659
1496,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,76,GPS,F-SFCARR,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,43.08210863,111.2584865
1497,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,34,GPS,K-LENFOX,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,30.17679804,50.358845
1501,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,N,131.66,GPS,K-COUN02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/08/2014,60.48432735,131.6645224
1502,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,100,GPS,K-TUGUNE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,42.36446676,110.9429476
1503,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,104,GPS,K-QUEENE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,54.95092583,138.0707424
1512,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,79,GPS,F-SFGCCY,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,28/05/2014,53.83801585,129.6939013
1514,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,20.16,GPS,F-TPMAIN,AMENITIES BLOCK,23/05/2014,5/02/2015,23.95099566,29.78042643
1515,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,32,GPS,F-CFWOON,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,26.79555969,41.70584386
1519,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,49,GPS,F-CMSLAW,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/05/2015,40.19444342,115.4355377
1525,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,33,GPS,K-PIZZEY,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,22.96932283,32.9285191
1526,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,40,GPS,K-WALLYF,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,28.05697086,48.6509813
1528,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,25,GPS,K-SPRI01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,23.22344447,28.0865309
1530,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,26,,K-TOMROS,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,25.00641252,35.95462889
1536,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,217,GPS,K-ASHM02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,67.17054188,254.2754274
1537,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,183,GPS,K-OWENPA,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,68.83337112,234.2769138
1541,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,37,GPS,K-APPELP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,35.25541637,54.42964647
1550,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,83,GPS,F-TPJACO,AMENITIES BLOCK,23/05/2014,5/02/2015,38.96628472,94.909178
1552,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,30,GPS,K-GILS01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,23.98178367,30.78543027
1557,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,30,,K-LION07,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,32.22660889,60.92618268
1559,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,25.5,GPS,F-SFCARR,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,23.95692086,26.99810341
1560,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,27,,K-GLENNO,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,23.01770836,31.51677627
1563,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,28,GPS,K-BOCHOW,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,25.27894163,36.79200942
1564,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,20,GPS,K-BOATHA,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,33.10455511,52.89183219
1569,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,33,GPS,K-OXEN02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,30.71098686,48.78316883
1574,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,113.41,GPS,K-BROA03,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,22/09/2014,42.7175019,113.1513215
1576,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,30,,K-BRADYP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,10/06/2015,29.25830867,51.8269487
